Machine Number*,Machine Name*,Department Name*,Machine Capacity,Asset Code*,Group*,Location*,Relocated Date,Purchased Date,Machine Make,Machine Remarks,Machine Cost,Image Name,Critical,Day Working Hour,Vendor,AMC Vendor,Renewal Date,From Date,To Date,Frequency,Frequency Date
1,CNC MACHINE - 4,FABRICATION BAY 1,,59980150,CNC MACHINE,PI,,,,,,,,,,,,,,,
2,CNC  MACHINE - 6,FABRICATION BAY 2,,59980311,CNC MACHINE,PI,,,,,,,,,,,,,,,
3,CNC DRILL MACHINE -5,FABRICATION BAY 2,,59990457,CNC MACHINE,PI,,,,,,,,,,,,,,,
4,CNC  MACHINE - 7,FABRICATION BAY 2,,59994886,CNC MACHINE,PI,,,,,,,,,,,,,,,
5,CNC MACHINE - 3,FABRICATION BAY 2,,30660010P,CNC MACHINE,PI,,,,,,,,,,,,,,,
6,CNC MACHINE - 2,FABRICATION BAY 1,,30660020P,CNC MACHINE,PI,,,,,,,,,,,,,,,
7,CNC  MACHINE - 1,FABRICATION BAY 1,,59980050P,CNC MACHINE,PI,,,,,,,,,,,,,,,
8,CNC MACHINE - 8,FABRICATION BAY 1,,599A0313,CNC MACHINE,PI,,,,,,,,,,,,,,,
9,CNC Plate Punching,FABRICATION BAY 3,,599A3584,CNC MACHINE,PI,,,,,,,,,,,,,,,
10,CNC MACHINE - 9,FABRICATION BAY 1,,599A3746,CNC MACHINE,PI,,,,,,,,,,,,,,,
11,CNC MACHINE - 10,FABRICATION BAY 2,,599A4149,CNC MACHINE,PI,,,,,,,,,,,,,,,
12,EOT CRANE - 14,GALVANISING 2,,6550720,CRANES,PI,,,,,,,,,,,,,,,
13,EOT CRANE - 15,GALVANISING 2,,6550711,CRANES,PI,,,,,,,,,,,,,,,
14,EOT CRANE - 16,GALVANISING 2,,6550703,CRANES,PI,,,,,,,,,,,,,,,
15,EOT CRANE - 17,GALVANISING 2,,6550690,CRANES,PI,,,,,,,,,,,,,,,
16,EOT CRANE-19,GALVANISING 3,,6550835,CRANES,PI,,,,,,,,,,,,,,,
17,EOT CRANE-18,GALVANISING 3,,6550827,CRANES,PI,,,,,,,,,,,,,,,
18,EOT CRANE-20,GALVANISING 3,,6550843,CRANES,PI,,,,,,,,,,,,,,,
19,EOT CRANE-21,GALVANISING 3,,6550851,CRANES,PI,,,,,,,,,,,,,,,
20,EOT CRANE-22,TLTRS (RAILWAY),,6550789,CRANES,PI,,,,,,,,,,,,,,,
21,EOT CRANE-23,TLTRS (RAILWAY),,6550797,CRANES,PI,,,,,,,,,,,,,,,
22,GANTRY CRANE - 5,STORES,,6600212,CRANES,PI,,,,,,,,,,,,,,,
23,GANTRY CRANE - 6,STORES,,6600417,CRANES,PI,,,,,,,,,,,,,,,
24,GANTRY CRANE - 4,STORES,,6600425,CRANES,PI,,,,,,,,,,,,,,,
25,GANTRY CRANE - 1,STORES,,59980320P,CRANES,PI,,,,,,,,,,,,,,,
26,GANTRY CRANE - 2,STORES,,59980370P,CRANES,PI,,,,,,,,,,,,,,,
27,GANTRY CRANE - 10,STORES,,599A3193,CRANES,PI,,,,,,,,,,,,,,,
28,GANTRY CRANE - 11,STORES,,599A3207,CRANES,PI,,,,,,,,,,,,,,,
29,GANTRY CRANE - 14,STORES,,6601219,CRANES,PI,,,,,,,,,,,,,,,
30,GANTRY CRANE - 15,STORES,,6601227,CRANES,PI,,,,,,,,,,,,,,,
31,EOT CRANE - 7,FABRICATION BAY 1,,59991429,CRANES,PI,,,,,,,,,,,,,,,
32,EOT CRANE - 8,FABRICATION BAY 2,,59991909,CRANES,PI,,,,,,,,,,,,,,,
33,EOT CRANE - 9,FABRICATION BAY 3,,59991917,CRANES,PI,,,,,,,,,,,,,,,
34,EOT CRANE - 10,FABRICATION BAY 3,,59991925,CRANES,PI,,,,,,,,,,,,,,,
35,JIB CRANE - 1,FABRICATION BAY 2,,66010001,CRANES,PI,,,,,,,,,,,,,,,
36,JIB CRANE - 2,FABRICATION BAY 2,,66010002,CRANES,PI,,,,,,,,,,,,,,,
37,JIB CRANE - 3,FABRICATION BAY 3,,66010003,CRANES,PI,,,,,,,,,,,,,,,
38,EOT CRANE - 1,FABRICATION BAY 1,,06550010P,CRANES,PI,,,,,,,,,,,,,,,
