Machine Number*,Machine Name*,Department Name*,Machine Capacity,Asset Code*,Group*,Location*,Relocated Date,Purchased Date,Machine Make,Machine Remarks,Machine Cost,Image Name,Critical,Day Working Hour,Vendor,AMC Vendor,Renewal Date,From Date,To Date,Frequency,Frequency Date
39,PORTAL CRANE - 1,FABRICATION BAY 1,,06550020P,CRANES,PI,,,,,,,,,,,,,,,
40,EOT CRANE - 2,FABRICATION BAY 2,,06550060P,CRANES,PI,,,,,,,,,,,,,,,
41,PORTAL CRANE - 4,FABRICATION BAY 2,,06550070P,CRANES,PI,,,,,,,,,,,,,,,
42,INDUCTION FURNACE - 1,FABRICATION BAY 1,,59981660,CRANES,PI,,,,,,,,,,,,,,,
43,EOT CRANE -13,FABRICATION BAY 1,,066550040,CRANES,PI,,,,,,,,,,,,,,,
44,JOGGLE BENDING MACHINE - 2,FAB BENDING SHED,,599A3860,CRANES,PI,,,,,,,,,,,,,,,
45,EOT CRANE - 22,TLTRS (RAILWAY),,6550789,CRANES,PI,,,,,,,,,,,,,,,
46,EOT CRANE - 23,TLTRS (RAILWAY),,6550797,CRANES,PI,,,,,,,,,,,,,,,
47,EOT CRANE - 6,GALVANISING 1,,59991437,CRANES,PI,,,,,,,,,,,,,,,
48,EOT CRANE - 5,GALVANISING 1,,06550080P,CRANES,PI,,,,,,,,,,,,,,,
49,EOT CRANE - 4,GALVANISING 1,,06550090P,CRANES,PI,,,,,,,,,,,,,,,
50,EOT CRANE - 3,GALVANISING 1,,06550100P,CRANES,PI,,,,,,,,,,,,,,,
51,EOT CRANE - 11,GALVANISING 1,,59982390,CRANES,PI,,,,,,,,,,,,,,,
52,EOT CRANE - 12,GALVANISING 1,,06550030P,CRANES,PI,,,,,,,,,,,,,,,
53,EOT CRANE - 13,FAB BENDING SHED,,06550040P,CRANES,PI,,,,,,,,,,,,,,,
54,EOT CRANE - 18,GALVANISING 3,,6550827,CRANES,PI,,,,,,,,,,,,,,,
55,EOT CRANE - 19,GALVANISING 3,,6550835,CRANES,PI,,,,,,,,,,,,,,,
56,EOT CRANE - 20,GALVANISING 3,,6550843,CRANES,PI,,,,,,,,,,,,,,,
57,EOT CRANE - 21,GALVANISING 3,,6550851,CRANES,PI,,,,,,,,,,,,,,,
58,HYDRA CRANE - 3 (14T),DISPATCH,,2720108,CRANES,PI,,,,,,,,,,,,,,,
59,HYDRA CRANE - 4 (14T),DISPATCH,,2720280,CRANES,PI,,,,,,,,,,,,,,,
60,GANTRY CRANE - 7,DISPATCH,,6600522,CRANES,PI,,,,,,,,,,,,,,,
61,HYDRA CRANE - 2 (10T),DISPATCH,,02700010P,CRANES,PI,,,,,,,,,,,,,,,
62,HYDRA CRANE - 1 (8T),DISPATCH,,02740010P,CRANES,PI,,,,,,,,,,,,,,,
63,GANTRY CRANE - 3,DISPATCH,,06550050P,CRANES,PI,,,,,,,,,,,,,,,
64,HYDRA CRANE - 5,DISPATCH,,2730340,CRANES,PI,,,,,,,,,,,,,,,
65,HYDRA CRANE - 6,DISPATCH,,2730359,CRANES,PI,,,,,,,,,,,,,,,
66,GANTRY CRANE - 8,DISPATCH,,6601065,CRANES,PI,,,,,,,,,,,,,,,
67,GANTRY CRANE - 9,DISPATCH,,6601073,CRANES,PI,,,,,,,,,,,,,,,
68,HYDRA CRANE -7,DISPATCH,,2721295,CRANES,PI,,,,,,,,,,,,,,,
69,HYDRA CRANE -8,DISPATCH,,2721309,CRANES,PI,,,,,,,,,,,,,,,
70,HYDRA CRANE - 801,DISPATCH,,0268558H,CRANES,PI,,,,,,,,,,,,,,,
71,HYDRA CRANE - 802,DISPATCH,,0268559H,CRANES,PI,,,,,,,,,,,,,,,
72,HYDRA CRANE - NEW,DISPATCH,,0268560H,CRANES,PI,,,,,,,,,,,,,,,
73,HYDRA CRANE - NEW1,DISPATCH,,0268561H,CRANES,PI,,,,,,,,,,,,,,,
74,GANGRY CRANE - 12,DISPATCH,,06601162,CRANES,PI,,,,,,,,,,,,,,,
75,GANGRY CRANE - 13,DISPATCH,,06601170,CRANES,PI,,,,,,,,,,,,,,,
76,ROD BENDING-1,TLTRS (RAILWAY),,30520495,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
77,ROD BENDING-2,TLTRS (RAILWAY),,30502667,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
78,63 T POWER PRESS - 3,FABRICATION BAY 3,,29930065,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
79,63 T POWER PRESS - 4,FABRICATION BAY 3,,29980540,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
80,60T HYDRAULIC PRESS - 4,FABRICATION BAY 3,,47050063,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
81,FICEP 801 - 2,FABRICATION BAY 3,,59980168,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
82,PFCN 16.1,FABRICATION BAY 1,,59980435,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
83,PFCN 16.2,FABRICATION BAY 3,,59980443,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
84,BAND SAW MACHINE - 1,FABRICATION BAY 2,,59980575,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
85,BAND SAW MACHINE - 2,DRILLING PLATE SHED,,59980869,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
86,BAND SAW MACHINE - 3,FABRICATION BAY 2,,59980877,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
87,60T HYDRAULIC PRESS - 2,FABRICATION BAY 1,,59990694,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
88,160T HYDRAULIC PRESS - 2,FABRICATION BAY 3,,59990708,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
89,450T ANGLE CUTTING MACHINE,FABRICATION BAY 2,,59991054,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
90,40T HYDRAULIC PRESS--2,FABRICATION BAY 3,,59991348,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
91,60T HYDRAULIC PRESS - 3,FABRICATION BAY 3,,59991356,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
92,HYDRAULIC SHEAR-2,FABRICATION BAY 3,,59991801,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
93,160T HYDRAULIC PRESS - 3,FABRICATION BAY 1,,59994231,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
94,100 T HYDRULIC NOTCHING M/C - 1,FABRICATION BAY 3,,59997273,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
95,RADIAL DRILL - 2,FABRICATION BAY 3,,29750010P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
96,RADIAL DRILL - 1,FABRICATION BAY 3,,29750020P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
97,RADIAL DRILL - 3,FABRICATION BAY 3,,29750030P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
98,60T HYDRAULIC PRESS - 1,FABRICATION BAY 1,,29930010P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
99,40T HYDRAULIC PRESS-1,FABRICATION BAY 2,,29930020P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
100,63T POWER PRESS - 1,FABRICATION BAY 3,,29930030P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
101,63T POWER PRESS - 2,FABRICATION BAY 1,,29930040P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
102,160T HYDRAULIC PRESS - 1,FABRICATION BAY 2,,29960010P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
103,HYDRAULIC SHEAR-1,FABRICATION BAY 3,,30650010P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
104,AMC 13 - 1,FABRICATION BAY 1,,59980010P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
105,AMC 13 - 2,FABRICATION BAY 3,,59980020P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
106,AMC 10,FABRICATION BAY 3,,59980030P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
107,FICEP 801 - 1,FABRICATION BAY 3,,59980060P,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
108,125 T HYDRAULIC PRESS,FABRICATION BAY 3,,59980958,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
109,110 T HYDRAULIC PUNCHING,FABRICATION BAY 3,,59980966,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
110,RADIAL DRILL - 4,FABRICATION BAY 3,,59997613,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
111,RADIAL DRILL - 5,DRILLING PLATE SHED,,59997621,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
112,ANGLE BENDING MACHINE,FABRICATION BAY 1,,59980931,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
113,MILLING MACHINE,FABRICATION BAY 1,,59980940,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
114,100 T HYDRULIC NOTCHING M/C-2,FABRICATION BAY 2,,59981253,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
115,JOGGLE BENDING MACHINE,FAB BENDING SHED,,59981547,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
116,HYDRULIC SHEAR-3,FABRICATION BAY 3,,59981261,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
117,HEEL MILLING MACHINE,FABRICATION BAY 2,,599A0194,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
118,RADIAL DRILL - 6,FABRICATION BAY 3,,59981628,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
119,HYDRAULIC PUNCHING 110T- 2,FABRICATION BAY 1,,599A3177,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
120,HYDRULIC NOTCHING 130T,FABRICATION BAY 1,,599A3185,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
121,110T Hydraulic press (AMC Numbering),FABRICATION BAY 1,,599A3495,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
122,110T Hydraulic press (AMC Numbering),FABRICATION BAY 3,,599A3479,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
123,110T Hydraulic press (Plate Numbering),FABRICATION BAY 3,,599A3487,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
124,110T Hydraulic press (Hole after bend),FABRICATION BAY 1,,599A3177,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
125,130T Hydraulic press (Notching),FABRICATION BAY 1,,599A3185,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
126,HEEL MILLING,FABRICATION BAY 2,,599A3800,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
127,SHEARING MACHINE,FABRICATION BAY 3,,59981261,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
128,HYDRAULIC SHEAR - 4,FABRICATION BAY 3,,599A3762,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
129,ZINC RECOVERY SYSTEM,GALVANISING 3,,599A3827,MANUAL MACHINES,PI,,,,,,,,,,,,,,,
130,Battery Operated Trolley-,GALVANISING 2,,599A3088,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
131,Battery Operated Trolley-,GALVANISING 2,,599A4106,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
132,75HP Fumes Exrtaction System-1,GALVANISING 2,,53032H89,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
133,75HP Fumes Exrtaction System-2,GALVANISING 2,,53032HC7,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
134,100HP FUMES EXTRACTION SYSTEM-1,GALVANISING 2,,53032HA0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
135,FLXU GENERATION UNIT - 2,GALVANISING 2,,530002B6,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
136,WHITE SMOKE BLOWER -2,GALVANISING 2,,53032HD5,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
137,PICKLING TANK -1,GALVANISING 3,,530002Q0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
138,RINSING TANK- 25.25 CUM -1,GALVANISING 3,,530002R9,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
139,RINSING TANK- 25.25 CUM -2,GALVANISING 3,,530002S7,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
140,FLUX TANK- 27.12 CUM - 1,GALVANISING 3,,530002T5,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
141,WHITE SMOKE EXTRACTION SYSTEM,GALVANISING 3,,530002U3,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
142,FUME EXTRACTION SYSTEM-1,GALVANISING 3,,530002V1,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
143,FUME EXTRACTION SYSTEM-2,GALVANISING 3,,530002W0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
144,FUME EXTRACTION SYSTEM - 3,GALVANISING 3,,530002X8,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
145,DEGREASING TANK -1,GALVANISING 3,,530002K0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
146,DEGREASING TANK-2,GALVANISING 3,,530002L0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
147,PICKLING TANK -1,GALVANISING 3,,530002M8,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
148,PICKLING TANK -2,GALVANISING 3,,530002N6,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
149,PICKLING TANK -3,GALVANISING 3,,530002P2,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
150,FLUX REGENERATION SYSTEM,GALVANISING 3,,530002B6,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
151,BATTERY OPERATED TROLLEY-8,GALVANISING 3,,599A4238,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
152,MIG-01,TLTRS (RAILWAY),, 22505954,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
153,MIG-02,TLTRS (RAILWAY),, 22505822,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
154,MIG-03,TLTRS (RAILWAY),, 22505598,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
155,MIG-04,TLTRS (RAILWAY),, 22505890,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
156,MIG-05,TLTRS (RAILWAY),, 22505903,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
157,MIG-06,TLTRS (RAILWAY),, 22506543,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
158,MIG-07,TLTRS (RAILWAY),, 22505849,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
159,MIG-08,TLTRS (RAILWAY),, 22506853,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
160,MIG-09,TLTRS (RAILWAY),, 22505873,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
161,MIG-10,TLTRS (RAILWAY),, 22506055,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
162,MIG-11,TLTRS (RAILWAY),, 22505970,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
163,MIG-12,TLTRS (RAILWAY),, 22506969,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
164,MIG-13,TLTRS (RAILWAY),, 22505458,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
165,MIG-14,TLTRS (RAILWAY),, 22508252,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
166,MIG-15,TLTRS (RAILWAY),, 22505792,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
167,MIG-16,TLTRS (RAILWAY),, 22505830,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
168,MIG-17,TLTRS (RAILWAY),, 22505750,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
169,MIG-18,TLTRS (RAILWAY),, 22508147,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
170,MIG-19,TLTRS (RAILWAY),, 22506233,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
171,MIG-20,TLTRS (RAILWAY),, 22500979,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
172,MIG-21,TLTRS (RAILWAY),, 22501983,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
173,MIG-22,TLTRS (RAILWAY),, 22505768,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
174,MIG-23,TLTRS (RAILWAY),, 22505911,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
175,MIG-24,TLTRS (RAILWAY),, 22505938,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
176,MIG-25,TLTRS (RAILWAY),, 59980826,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
177,MIG-26,TLTRS (RAILWAY),, 22507523,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
178,MIG-27,TLTRS (RAILWAY),, 22505865,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
179,MIG-28,TLTRS (RAILWAY),, 22505857,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
180,BATTERY OPERATED TROLLEY-9,TLTRS (RAILWAY),,599A4220,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
181,PHP MACHINE- 01,TLTRS (RAILWAY),,599A4904,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
182,HYDRAULIC PRESS - SHEARING,TLTRS (RAILWAY),,599A4955,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
183,POWER PRESS - PUNCHING,TLTRS (RAILWAY),,599A3797,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
184,HYDRAULIC PRESS - NUMBERING,TLTRS (RAILWAY),,599A6630,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
185,STRAIGHTENING MACHINE - 2,STORES,,59990988,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
186,STRAIGHTENING MACHINE -1,STORES,,30900010P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
187,BATERY OPERATED TROLLEY-2,STORES,,59981563,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
188,BATERY OPERATED TROLLEY-3,STORES,,59981571,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
189,BATERY OPERATED TROLLEY-5,STORES,,599A4106,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
190,SHAPPER MACHINE,PLANT AND MACHINERY,,29150060,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
191,DG SET 380 KVA-2,PLANT AND MACHINERY,,59991364,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
192,DG SET 380 KVA-1,PLANT AND MACHINERY,,25950010P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
193,LATHE,PLANT AND MACHINERY,,59980430P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
194,DG SET 500 KVA -1,PLANT AND MACHINERY,,25961403,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
195,DG SET 750 KVA -2,PLANT AND MACHINERY,,25980580,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
196,SHAPING MACHINE,PLANT AND MACHINERY,,59990184,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
197,FORKLIFT-2,PPC,,59997028,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
198,FORKLIFT-1,PPC,,06970010P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
199,FORKLIFT-3,PPC,,6950191,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
200,FORKLIFT-4,PPC,,6950213,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
201,AIR COMPRESSOR - 5,FABRICATION BAY 1,,20710143,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
202,AIR COMPRESSOR - 6,FABRICATION BAY 1,,59980796,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
203,AIR COMPRESSOR - 4,FABRICATION BAY 1,,20710010P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
204,WELDING MACHINE,FABRICATION BAY 1,,22110010P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
205,AIR COMPRESSOR - 1,FABRICATION BAY 1,,59980110P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
206,Battery Operated Trolley-,FABRICATION BAY 1,,599A3649,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
207,Battery Operated Trolley-,TLTRS (RAILWAY),,599A4092,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
208,Battery Operated Trolley-,FABRICATION BAY 3,,599A4220,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
209,WELDING MACHINE - 15,TLTRS (RAILWAY),,22500979,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
210,WELDING MACHINE - 16,TLTRS (RAILWAY),,22506055,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
211,WELDING MACHINE - 17,TLTRS (RAILWAY),,22506853,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
212,WELDING MACHINE - 18,TLTRS (RAILWAY),,22508147,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
213,WELDING MACHINE - 19,TLTRS (RAILWAY),,22505458,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
214,WELDING MACHINE - 20,TLTRS (RAILWAY),,22506233,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
215,WELDING MACHINE - 21,TLTRS (RAILWAY),,22508252,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
216,WELDING MACHINE - 22,TLTRS (RAILWAY),,22506969,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
217,WELDING MACHINE - 23,TLTRS (RAILWAY),,22501983,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
218,WELDING MACHINE - 24,TLTRS (RAILWAY),,22505750,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
219,WELDING MACHINE - 25,TLTRS (RAILWAY),,22228756,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
220,WELDING MACHINE - 26,TLTRS (RAILWAY),,22210369,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
221,WELDING MACHINE - 27,TLTRS (RAILWAY),,22505822,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
222,WELDING MACHINE - 28,TLTRS (RAILWAY),,22505830,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
223,WELDING MACHINE - 29,TLTRS (RAILWAY),,22505849,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
224,WELDING MACHINE - 30,TLTRS (RAILWAY),,22505857,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
225,WELDING MACHINE - 31,TLTRS (RAILWAY),,22505865,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
